Statement Number,Speaker,Number of non-stop words,Number of positive words,Number of negative words,Number of Lancaster stemmed positive words,Number of Lancaster stemmed negative words,Number of Porter stemmed positive words,Number of Porter stemmed negative words,Number of Snowball stemmed positive words,Number of Snowball stemmed negative words
0,LEHRER,161,14,3,35,22,23,23,23,12
1,OBAMA,184,16,10,46,23,31,15,32,15
2,LEHRER,5,0,0,0,0,0,0,0,0
3,ROMNEY,191,25,12,49,24,31,16,31,16
4,LEHRER,12,1,3,2,1,1,1,1,1
5,OBAMA,204,14,8,46,31,31,15,32,16
6,LEHRER,21,1,0,2,3,1,2,1,2
7,ROMNEY,296,20,10,70,40,35,28,38,29
8,OBAMA,104,9,6,28,21,16,15,16,16
9,LEHRER,2,1,0,1,0,1,0,1,0
10,OBAMA,79,8,3,23,10,15,6,15,6
11,LEHRER,10,4,0,1,2,1,2,1,2
12,ROMNEY,9,2,1,1,2,1,2,1,2
13,LEHRER,2,1,0,1,0,1,0,1,0
14,ROMNEY,173,16,4,40,32,15,17,15,17
15,LEHRER,7,1,1,0,1,0,1,0,1
16,OBAMA,202,14,4,45,35,31,27,31,27
17,LEHRER,2,1,0,1,0,1,0,1,0
18,ROMNEY,6,1,0,1,1,1,0,1,0
19,LEHRER,2,2,0,0,0,0,0,0,0
20,ROMNEY,4,0,0,0,1,0,1,0,1
21,LEHRER,9,1,2,3,2,3,2,3,2
22,ROMNEY,2,1,0,1,0,1,0,1,0
23,LEHRER,22,2,3,5,5,4,4,4,4
24,ROMNEY,147,11,2,29,40,14,24,14,26
25,OBAMA,138,16,5,41,20,19,14,19,14
26,ROMNEY,9,0,0,1,1,0,0,0,0
27,LEHRER,8,1,0,1,0,1,0,1,0
28,ROMNEY,130,8,4,26,15,8,6,8,6
29,LEHRER,37,1,1,4,4,1,3,1,3
30,ROMNEY,121,13,2,35,17,21,12,20,12
31,OBAMA,2,0,0,1,0,1,0,1,0
32,ROMNEY,99,7,1,16,5,11,2,11,2
33,LEHRER,5,0,0,0,0,0,0,0,0
34,OBAMA,220,11,6,53,24,22,16,23,16
35,LEHRER,4,0,1,0,1,0,1,0,1
36,OBAMA,6,1,0,3,0,2,0,2,0
